City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,goure,13.9835,10.2704,16.62,22,4,4.55,NE,02/08/2023 22:46:46
69,myaundzha,63.0494,147.1858,-34.99,96,50,0.86,RU,02/08/2023 22:46:47
70,saldanha,-33.0117,17.9442,18.46,79,20,3.57,ZA,02/08/2023 22:42:47
71,ayolas,-27.4,-56.9,27.5,32,82,3.36,PY,02/08/2023 22:46:47
72,nikolskoye,59.7035,30.7861,1.94,93,100,4.63,RU,02/08/2023 22:42:45
73,ribeira grande,42.7461,-8.4439,5.96,84,0,2.06,ES,02/08/2023 22:46:48
74,vaux-sur-sure,49.9115,5.5744,-3.52,82,0,1.39,BE,02/08/2023 22:46:48
75,rio grande,38.3,21.7833,5.42,59,94,8.7,GR,02/08/2023 22:46:48
76,katsuura,35.1333,140.3,8.76,38,79,4.33,JP,02/08/2023 22:44:48
77,cedar city,41.2122,-92.5257,3.12,81,100,2.06,US,02/08/2023 22:46:49
78,cockburn town,-32.0833,141.0,34.35,11,0,3.43,AU,02/08/2023 22:45:59
79,upington,-28.4478,21.2561,20.76,59,2,3.69,ZA,02/08/2023 22:46:49
80,amberley,39.2048,-84.428,10.17,93,100,2.06,US,02/08/2023 22:46:49
81,ixtapa,20.7,-105.2,21.57,78,0,2.06,MX,02/08/2023 22:46:50
82,coahuayana,18.7333,-103.6833,21.34,91,3,1.35,MX,02/08/2023 22:46:50
83,hualmay,-11.0964,-77.6139,22.41,85,24,3.18,PE,02/08/2023 22:42:35
84,codrington,-38.2667,141.9667,21.29,59,2,5.16,AU,02/08/2023 22:42:48
85,khatanga,71.9667,102.5,-42.68,99,64,1.71,RU,02/08/2023 22:42:11
86,ranong,9.9658,98.6348,30.96,59,78,1.48,TH,02/08/2023 22:46:51
87,byron bay,44.0327,-92.6455,0.97,84,0,4.12,US,02/08/2023 22:46:51
88,flin flon,48.4982,6.6557,-7.23,65,0,0.77,FR,02/08/2023 22:46:51
89,conde,-7.2597,-34.9075,24.7,88,20,2.06,BR,02/08/2023 22:46:52
90,nikolayevka,53.1257,47.2041,-7.71,95,100,2.74,RU,02/08/2023 22:46:52
91,hilo,19.7297,-155.09,24.85,69,75,4.63,US,02/08/2023 22:42:31
92,bambous virieux,-20.2567,57.4061,26.74,78,27,5.19,MU,02/08/2023 22:46:52
93,tilichiki,60.4667,166.1,-24.15,87,77,4.4,RU,02/08/2023 22:46:53
94,avarua,-21.2078,-159.775,28.03,74,40,5.66,CK,02/08/2023 22:43:04
95,muros,42.7762,-9.0603,7.13,85,0,4.33,ES,02/08/2023 22:42:14
96,valparaiso,-33.0393,-71.6273,16.8,88,100,0.51,CL,02/08/2023 22:46:53
97,lagoa,39.05,-27.9833,13.59,73,100,5.57,PT,02/08/2023 22:43:44
98,springfield,37.2153,-93.2982,11.23,96,100,4.12,US,02/08/2023 22:46:53
99,tura,25.5198,90.2201,22.98,39,48,1.31,IN,02/08/2023 22:42:15
100,veere,51.5483,3.6667,3.0,77,90,6.17,NL,02/08/2023 22:46:54
101,nha trang,27.9145,86.719,-3.94,32,0,2.22,NP,02/08/2023 22:46:54
102,puerto ayora,36.5939,-6.233,12.36,82,0,5.66,ES,02/08/2023 22:46:54
103,lucapa,-8.4192,20.7447,17.56,96,100,1.76,AO,02/08/2023 22:46:55
104,santa cruz del norte,17.486,120.4348,30.57,66,31,4.05,PH,02/08/2023 22:46:55
105,chebenki,51.9337,55.7077,-16.14,96,100,2.48,RU,02/08/2023 22:46:55
106,lebu,-37.6167,-73.65,14.75,95,5,4.59,CL,02/08/2023 22:42:44
107,hobart,-42.8794,147.3294,21.82,56,75,4.63,AU,02/08/2023 22:40:30
108,dir,35.2058,71.8756,4.6,72,100,2.13,PK,02/08/2023 22:46:56
109,mahebourg,-20.4081,57.7,27.36,83,75,5.14,MU,02/08/2023 22:42:35
110,porto novo,41.1496,-8.611,9.55,62,0,2.24,PT,02/08/2023 22:46:56
111,juba,4.8517,31.5825,21.94,29,40,1.21,SS,02/08/2023 22:46:14
112,ugoofaaru,5.6667,73.0,26.72,71,58,2.0,MV,02/08/2023 22:45:22
113,hamilton,39.1834,-84.5333,10.4,93,100,4.12,US,02/08/2023 22:42:39
114,isangel,-19.55,169.2667,27.06,89,100,4.12,VU,02/08/2023 22:43:30
115,nemuro,43.3236,145.575,-6.34,76,56,9.77,JP,02/08/2023 22:46:57
116,pacific grove,38.482,-90.7415,6.77,93,100,0.89,US,02/08/2023 22:46:57
117,jamestown,42.097,-79.2353,-0.2,92,0,2.57,US,02/08/2023 22:40:52
118,kodiak,57.79,-152.4072,-4.27,36,0,3.09,US,02/08/2023 22:42:44
119,bani walid,18.2833,-70.3333,23.25,78,36,6.8,DO,02/08/2023 22:46:57
120,thompson,55.7435,-97.8558,-12.91,72,100,5.66,CA,02/08/2023 22:42:37
121,richards bay,46.8361,-95.9123,-0.25,93,75,0.0,US,02/08/2023 22:46:58
122,ahipara,-35.1667,173.1667,20.85,56,27,4.47,NZ,02/08/2023 22:44:59
123,guiyang,26.5833,106.7167,7.27,87,100,2.0,CN,02/08/2023 22:46:58
124,alyangula,-13.8483,136.4192,30.26,66,100,1.59,AU,02/08/2023 22:44:27
